"조회기간","시도","시군구","용도업종(소)","판매량"
"2016-10","서울특별시","강서구","농업.임업","285079"
"2016-10","서울특별시","강서구","시멘트","174413"
"2016-10","서울특별시","강서구","유리","5904"
"2016-10","서울특별시","강서구","고무.플라","63849"
"2016-10","서울특별시","강서구","화학제품","362363"
"2016-10","서울특별시","강서구","가죽.신발","49446"
"2016-10","서울특별시","강서구","의복.모피","320027"
"2016-10","서울특별시","강서구","섬유","76832"
"2016-10","서울특별시","강서구","음료품제조","14779"
"2016-10","서울특별시","강서구","관공용","14162785"
"2016-10","서울특별시","강서구","수도","435992"
"2016-10","서울특별시","강서구","사업자용","181583"
"2016-10","서울특별시","강서구","순수써비스","74141799"
"2016-10","서울특별시","강서구","전철","2461139"
"2016-10","서울특별시","강서구","기타공공용","2034857"
"2016-10","서울특별시","강서구","국군용","435895"
"2016-10","서울특별시","관악구","가정용","47848813"
"2016-10","서울특별시","관악구","시멘트","9527"
"2016-10","서울특별시","관악구","유리","7004"
"2016-10","서울특별시","관악구","고무.플라","52067"
"2016-10","서울특별시","관악구","화학제품","21561"
"2016-10","서울특별시","관악구","가죽.신발","85753"
"2016-10","서울특별시","관악구","의복.모피","1230265"
"2016-10","서울특별시","관악구","섬유","201159"
"2016-10","서울특별시","관악구","음료품제조","1292"
"2016-10","서울특별시","관악구","식료품제조","203340"
"2016-10","서울특별시","관악구","재생재료","20066"
"2016-10","서울특별시","관악구","가구및기타","71279"
"2016-10","서울특별시","관악구","기타운송","602"
"2016-10","서울특별시","관악구","자동차","14312"
"2016-10","서울특별시","관악구","의료.광학","55187"
"2016-10","서울특별시","관악구","영상.음향","14019"
"2016-10","서울특별시","관악구","전기기기","1400"
"2016-10","서울특별시","관악구","사무기기","5385"
"2016-10","서울특별시","관악구","기타기계","47484"
"2016-10","서울특별시","관악구","조립금속","13544"
"2016-10","서울특별시","관악구","1차금속","3202"
"2016-10","서울특별시","관악구","출판.인쇄","61253"
"2016-10","서울특별시","관악구","펄프.종이","11105"
"2016-10","서울특별시","관악구","목재.나무","2509"
"2016-10","서울특별시","관악구","어업","1762"
"2016-10","서울특별시","관악구","관공용","1276734"
"2016-10","서울특별시","관악구","수도","916609"
"2016-10","서울특별시","관악구","사업자용","97701"
"2016-10","서울특별시","관악구","농업.임업","8278"
"2016-10","서울특별시","관악구","순수써비스","57443128"
"2016-10","서울특별시","관악구","기타공공용","13877714"
"2016-10","서울특별시","관악구","국군용","1532590"
"2016-10","서울특별시","광진구","가정용","33620814"
"2016-10","서울특별시","광진구","섬유","443365"
"2016-10","서울특별시","광진구","식료품제조","340680"
"2016-10","서울특별시","광진구","가구및기타","122035"
"2016-10","서울특별시","광진구","기타운송","275"
"2016-10","서울특별시","광진구","자동차","6722"
"2016-10","서울특별시","광진구","의료.광학","62655"
"2016-10","서울특별시","광진구","영상.음향","74454"
"2016-10","서울특별시","광진구","전기기기","4602"
"2016-10","서울특별시","광진구","기타기계","85449"
"2016-10","서울특별시","광진구","시멘트","3182"
"2016-10","서울특별시","광진구","고무.플라","146448"
"2016-10","서울특별시","광진구","화학제품","193909"
"2016-10","서울특별시","광진구","석유정제","3734"
"2016-10","서울특별시","광진구","가죽.신발","67886"
"2016-10","서울특별시","광진구","의복.모피","838109"
"2016-10","서울특별시","광진구","조립금속","100385"
"2016-10","서울특별시","광진구","1차금속","3168"
"2016-10","서울특별시","광진구","출판.인쇄","191670"
"2016-10","서울특별시","광진구","펄프.종이","54684"
"2016-10","서울특별시","광진구","목재.나무","6695"
"2016-10","서울특별시","광진구","금속비금속","7054"
"2016-10","서울특별시","광진구","어업","10899"
"2016-10","서울특별시","광진구","농업.임업","5315"
"2016-10","서울특별시","광진구","관공용","1308903"
"2016-10","서울특별시","광진구","수도","4086317"
"2016-10","서울특별시","광진구","사업자용","217829"
"2016-10","서울특별시","광진구","순수써비스","49575410"
"2016-10","서울특별시","광진구","전철","25119931"
"2016-10","서울특별시","광진구","기타공공용","5556802"
"2016-10","서울특별시","광진구","국군용","15028"
"2016-10","서울특별시","구로구","가정용","41737796"
"2016-10","서울특별시","구로구","사무기기","21615"
"2016-10","서울특별시","구로구","기타기계","1383226"
"2016-10","서울특별시","구로구","조립금속","576500"
"2016-10","서울특별시","구로구","1차금속","171835"
"2016-10","서울특별시","구로구","출판.인쇄","950245"
"2016-10","서울특별시","구로구","펄프.종이","85570"
"2016-10","서울특별시","구로구","목재.나무","11721"
